created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Apr 30 16:43:24 +0000 2024,1785349243613655242,@medyrenaldy_ Suported by Bea Cukai IDN.   Salam All Clear...,0,0,0,0,en,377354957,1785277331495661574,RhsX16191,https://twitter.com/RhsX16191/status/1785349243613655242
Tue Apr 30 15:36:41 +0000 2024,1785332451646267839,"T. Wts wtb want to sell buy jual beli second preloved #KhilafClubApril #lapakcot #zonauang  iPhone 13 Pro 256GB Graphite  - BH 87% - face id true tone on - Inc box + usb lightning + 3 case - IMEI terdaftar (beacukai), sinyal permanen  Tanya2 foto dll cek https://t.co/hV69WNyPnC",0,0,0,0,en,1069458268030791680,1785332451646267839,hauteasfuque,https://twitter.com/hauteasfuque/status/1785332451646267839
Tue Apr 30 14:14:48 +0000 2024,1785311848797196784,@daniyemm bro I havent saved that pic u deleted,0,0,0,0,en,1585112560202047489,1784476348339433874,kermitanto,https://twitter.com/kermitanto/status/1785311848797196784
Tue Apr 30 14:12:36 +0000 2024,1785311293534241083,@daniyemm sigh https://t.co/JlaYXBWE7L,0,2,0,0,en,1585112560202047489,1784476348339433874,kermitanto,https://twitter.com/kermitanto/status/1785311293534241083
Tue Apr 30 13:54:00 +0000 2024,1785306614595240433,F these Stupid NPCs from Bea Cukai.,0,0,0,3,en,2178592831,1785306614595240433,LVELUP5,https://twitter.com/LVELUP5/status/1785306614595240433
Tue Apr 30 13:09:24 +0000 2024,1785295389295579409,Me joining in the abuse towards bea cukai https://t.co/O663yvvAf5,0,0,0,0,en,1558257396,1785295027381674129,NoContextZnzz,https://twitter.com/NoContextZnzz/status/1785295389295579409
Tue Apr 30 12:06:15 +0000 2024,1785279495907557507,WE WILL GET BEA CUKAI DOWNFALL YOU ALLi,0,1,1,6,en,1205441025168199680,1785279495907557507,alianmedioker,https://twitter.com/alianmedioker/status/1785279495907557507
Tue Apr 30 11:38:56 +0000 2024,1785272623490011203,I'm so invested in this wholee issue with the beloved beacukai. All clear 😖👍🏻,0,0,0,1,en,525245759,1785272623490011203,JeChorale,https://twitter.com/JeChorale/status/1785272623490011203
Tue Apr 30 11:05:31 +0000 2024,1785264214137098749,"🚨 Jerome Polin is set to join Direktorat Jenderal Bea &amp  Cukai. It's an honor that my bad luck will take this institution down,"" he said. His employment will take place in a couple of weeks, an insider claims. https://t.co/WNaGCAyqYF""",28,16,199,1221,en,1237689705879101440,1785264214137098749,xhelmix,https://twitter.com/xhelmix/status/1785264214137098749
Tue Apr 30 10:53:01 +0000 2024,1785261064810307962,"@medyrenaldy_ What the.......  Bea cukai, SHAME ON YOU",0,0,0,0,en,1094583763390976000,1785204421879824738,zefaryne,https://twitter.com/zefaryne/status/1785261064810307962
Tue Apr 30 10:35:21 +0000 2024,1785256619506532448,Exposing old wounds so they are visible and then treated and hopefully healed #Indonesia #beacukai #DJBC #MenKeu,0,0,0,0,en,1298229092936871941,1785256619506532448,YoanaMaria12,https://twitter.com/YoanaMaria12/status/1785256619506532448
Tue Apr 30 10:12:53 +0000 2024,1785250966381486473,"God please take all the hardships and stress of indonesian students, triple it and give it to this evil, evil instance of Indonesia's Bea Cukai. https://t.co/Ls6ysaiEYx",0,0,2,2,en,1762706926021038080,1785250966381486473,baisxue,https://twitter.com/baisxue/status/1785250966381486473
Tue Apr 30 09:12:59 +0000 2024,1785235891558203714,@medyrenaldy_ The end of Bea Cukai Arc,0,0,0,0,en,4758239653,1785220507123749047,kekanean,https://twitter.com/kekanean/status/1785235891558203714
Tue Apr 30 08:54:14 +0000 2024,1785231173977006130,We need Jesus for this bea cukai thing. It is written. 😂😂😂😂,0,0,0,3,en,604330394,1785231173977006130,moonriveresque,https://twitter.com/moonriveresque/status/1785231173977006130
Tue Apr 30 07:17:58 +0000 2024,1785206946297192458,@prastow It is HALAL to slandering bea cukai workers cause after what you guys did it all you still have the guts to smile like that? https://t.co/fisUGdDElA,0,0,0,0,en,1616222975879180294,1784987135344513387,Joeymillietank,https://twitter.com/Joeymillietank/status/1785206946297192458
Tue Apr 30 06:14:20 +0000 2024,1785190933308514588,"@JeromePolin some lil tips for u. get more trafic and good sentiment for hard suporting  bea cukai, do it now or u will miss the wave.",0,0,0,1,en,431334398,1785190933308514588,KakaknyaElmo,https://twitter.com/KakaknyaElmo/status/1785190933308514588
Tue Apr 30 05:10:31 +0000 2024,1785174872681066980,we were really busy to focused on some ugly discourse like KIPK n bea cukai till we might forgot that those kind of mokondo like gaga sarden are still existed on society the fuck??,0,0,0,1,en,1693119693824126977,1785174872681066980,G4C0AN,https://twitter.com/G4C0AN/status/1785174872681066980
Tue Apr 30 02:41:34 +0000 2024,1785137389784256955,I’ve failed on my test with bea cukai and seeing what happened with bea cukai recently make me belive that god plan is way better for me ☝️🥶🔥,0,0,0,1,en,1012396320915533829,1785137389784256955,Bebekksalto,https://twitter.com/Bebekksalto/status/1785137389784256955
Tue Apr 30 02:40:12 +0000 2024,1785137046744621219,besties wdyt if we raid the bea cukai office like they did the capitol on jan 6th???,0,0,0,0,en,1103098530703433728,1785137046744621219,pestamiras,https://twitter.com/pestamiras/status/1785137046744621219
Tue Apr 30 01:39:49 +0000 2024,1785121850932273218,i hate beacukai  like i hate cockroach,0,0,0,0,en,1307931729479442432,1785121850932273218,markumiss,https://twitter.com/markumiss/status/1785121850932273218
Tue Apr 30 01:34:41 +0000 2024,1785120558172229643,bea cukai pls take a notes https://t.co/oMDha4iRa7,0,0,0,0,en,2905753116,1785120558172229643,pipqqooo,https://twitter.com/pipqqooo/status/1785120558172229643
Tue Apr 30 00:34:48 +0000 2024,1785105487241093297,"i still don't understand what bea cukai"" means and at this point i'm too afraid to ask""",0,1,0,0,en,1221057435709755392,1785105487241093297,eggvedeon,https://twitter.com/eggvedeon/status/1785105487241093297
Mon Apr 29 22:01:57 +0000 2024,1785067020293476862,jerome polin son or bea cukai daughter,0,2,1,7,en,1145406818002190336,1785067020293476862,bas_tuan,https://twitter.com/bas_tuan/status/1785067020293476862
